Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT1G63110	0.140110956052743	5.45550993342592	1.4301307201926	0.167595552886565	0.304910197872397	-5.76304621404303
AT3G18610	-0.463455407269624	1.59981479109117	-1.43011730384012	0.167599357815345	0.304910197872397	-5.08275543767679
AT3G25140	0.131379492998176	6.95843198262274	1.42994816676348	0.167647331710174	0.304954679818438	-5.82963347100711
AT3G56650	-1.00680191017966	2.70428937236234	-1.42992909749263	0.167652741196199	0.304954679818438	-5.21013330410401
AT1G26670	-0.127262088570277	6.53584257435129	-1.42986001604671	0.167672339092222	0.304964012775154	-5.82368913298954
AT3G09050	-0.86371492944692	1.9299900679489	-1.42886896648294	0.167953695902487	0.305445357448229	-5.09745789597206
AT1G67520	0.360125985921758	1.81047283128973	1.42879465945506	0.167974806833581	0.305445357448229	-5.14347087925201
AT5G11420	-0.907429509279904	4.51708117041083	-1.42877477384798	0.16798045677881	0.305445357448229	-5.55684741361354
AT2G04038	-0.903521202679167	-0.797574762883959	-1.42834934226556	0.168101368093612	0.305638851079294	-4.56788691020192
AT4G36190	0.140582372394446	4.90355065230924	1.42827702862078	0.168121927226544	0.305649868558477	-5.69887659919052
AT1G05490	-0.411172204606256	1.90428181127825	-1.42808784097403	0.168175723812263	0.305684476026816	-5.14657204879579
AT3G16090	-0.170219081346764	4.83157072055471	-1.42805907306956	0.168183905344909	0.305684476026816	-5.69243648406128
AT5G10180	0.747819888518607	4.22761211226935	1.42805710012101	0.168184466459156	0.305684476026816	-5.56355218020438
AT3G25440	0.253531794813894	2.95752477167587	1.42782645532157	0.168250073136105	0.30577735509174	-5.33193031664819
AT1G06510	-0.28429904878895	2.85981813889654	-1.42756213560197	0.168325283968302	0.305887671211362	-5.30590441177425
AT2G27775	0.330215086539921	3.51602147155276	1.42738786790192	0.168374885773658	0.30592308463446	-5.46549318655872
AT3G01070	0.34973600190089	2.9045250194216	1.42735585581059	0.168383998653694	0.30592308463446	-5.36843329244681
AT5G43750	-0.964998908983057	3.40857298178109	-1.42734071519008	0.168388308871615	0.30592308463446	-5.3794996345746
AT4G28410	0.2789899551408	3.88559735973774	1.42727590788445	0.16840675916045	0.305930238116364	-5.59289734336075
AT5G07180	-3.09182804425596	-0.874273374874036	-1.42717432794626	0.168435681696043	0.305953279826274	-4.48635036095626
AT3G07000	-0.416191453816977	3.15054887249891	-1.42712941512875	0.168448470856913	0.305953279826274	-5.36828136474236
AT5G59845	-0.717571357465667	0.798348191511411	-1.42706361764351	0.168467208449422	0.305960950643045	-4.95517611296792
AT3G47836	0.197897485052296	4.6008487405765	1.42700411057829	0.168484156122864	0.305965369664884	-5.65612331766546
AT1G09700	0.236804615059089	3.60280886127271	1.42618079450067	0.168718778392287	0.306365048540737	-5.46482045926946
AT1G12830	0.217904376388824	4.14810697059097	1.42601248518335	0.168766774270588	0.306425805480104	-5.59033021859464
AT3G10290	0.420146137080698	0.0743588602026961	1.42577134749374	0.168835557395892	0.306524291611868	-4.76002876299403
AT4G38215	0.495992360034246	0.406855883235188	1.42571840272319	0.16885066260684	0.306525315858783	-4.86811260901012
AT3G07530	0.252240032927004	2.49314356883335	1.42566545350994	0.168865770173902	0.306526344206136	-5.26555313271874
AT5G24314	-0.569463644471914	3.31296492323133	-1.42538076160758	0.168947017656322	0.306647419682733	-5.41205176600106
